date,Mkt.RF,SMB,HML,RMW,CMA,RF,CAT,IBM,MS,BHP,SAM,DD,GE,XOM,CSCO
2/01/2004,-0.17,0.79,0.43,-0.59,0.63,0.003,-0.446624982,-1.226736419,-1.54986778,1.7372826,0.604569047,-1.064087025,0.450852998,-0.906546872,0.082493166
5/01/2004,1.2,0.27,0.01,-0.77,0.82,0.003,2.68589822,1.625112495,1.030110213,3.282472442,0.709798249,1.878618357,1.46733668,2.311280324,2.121676805
6/01/2004,0.2,0.05,0.26,-0.48,0.56,0.003,-1.78254391,0.010738079,0.3467683,0,-2.534565497,-1.15188075,-0.667175547,-0.675718147,1.163944324
7/01/2004,0.34,0.51,-0.08,-0.52,0.2,0.003,-1.097094845,-0.30132879,0.485626355,-3.659921529,-0.167556592,0.216984522,0.983342352,-0.729015305,1.975574261
8/01/2004,0.45,0.3,0.7,-0.89,1,0.003,-0.778899876,0.27985711,0.981271871,1.021241338,1.001126298,2.073718676,1.783271138,-0.24418191,3.006010835
9/01/2004,-0.72,0.01,0.29,-0.48,0.14,0.003,-1.725294588,-1.986519643,-1.972265196,-3.095566709,-4.644096113,-3.139109341,-1.405204569,-1.502698318,0.530102559
12/01/2004,0.57,0.79,0.12,-0.91,0.83,0.003,2.455601436,0.372140748,2.177709332,0.659707288,3.642969815,1.113572686,0.907800802,1.404812291,2.055776531
13/01/2004,-0.51,0.29,0.07,0.25,-0.07,0.003,0.060693431,-2.041455377,-0.171096366,-1.379316985,2.375151762,-0.700583519,-1.507102687,-0.441506617,-0.519303743
14/01/2004,0.8,0.03,0.47,-0.02,0.18,0.003,1.444070512,0.677714691,0.393122012,3.063719978,5.624819562,-0.51037398,1.226275366,0,1.878843046
15/01/2004,0.15,-0.07,-0.31,-0.04,0.16,0.003,0.059980612,4.025930364,2.009709453,-3.788557653,-1.089499781,-0.856490681,0,-0.988093948,-0.879760027
16/01/2004,0.72,-0.04,0.61,-1.39,0.72,0.003,0.907337949,1.373238358,1.031231205,-1.749989668,-3.126082367,1.026832891,4.132199873,0.544629402,7.002357383
20/01/2004,0.15,1.25,0.58,-0.36,0.52,0.003,-2.393500278,1.850081615,-0.914311933,2.973555981,2.498131569,-1.223607,0.030007272,0.933996128,-0.931225667
21/01/2004,0.64,-0.81,0.34,0.96,-0.77,0.003,1.510132905,0.616068842,1.32719435,1.154188036,-2.336792469,1.68474557,1.458088366,1.336387801,-0.904965055
22/01/2004,-0.32,-0.51,-0.05,0.57,-0.72,0.003,0.716853781,-0.194684462,-1.360575687,-0.054653027,-1.953404436,-1.242527906,-0.97965575,-0.362744087,-1.337605151
23/01/2004,-0.14,0.88,-0.1,0.12,-0.13,0.003,0.202136867,0.399212087,-0.956806728,0.327529641,0.273592517,-1.307887985,-0.929142734,-0.583048815,-3.204556046
26/01/2004,1.12,-0.23,-0.3,-0.35,0.15,0.003,0.993066163,1.972280555,1.738900899,0,0.544965941,1.06244443,2.761933546,1.234969121,3.133687139
27/01/2004,-0.96,0.1,0.01,0.82,-0.21,0.003,-3.604941803,-1.057206946,-2.704904247,-1.593019402,-0.054368038,-0.270713292,0.146295186,-0.870161511,-2.513617937
28/01/2004,-1.44,-0.43,-0.38,0.36,0.05,0.003,-2.945394066,-1.447674275,-2.86770652,-3.436016356,-1.038533521,1.27329893,-1.265636718,-0.926821547,-2.653042941
29/01/2004,0.25,-1.07,-0.76,0.66,-0.97,0.003,-3.008894662,0.644887506,1.357716557,-3.498858169,-2.391000686,0.388553365,0.796552871,1.604311141,-3.10988505
30/01/2004,-0.15,0.23,0.45,-0.52,0.16,0.003,1.119749774,1.237098262,0.637652195,1.472739114,-4.136149709,1.658426399,-1.182388991,-1.653374992,-0.967646388
2/02/2004,0.27,-0.35,-0.14,0.23,-0.28,0.003,-0.82250639,0.1610776,-0.275233093,-0.058489459,-1.002071515,-0.645659657,0,-0.245431545,1.887929843
3/02/2004,0,-0.13,-0.04,0.21,-0.15,0.003,-0.582451247,0.61190421,-0.466291728,-0.763568704,-0.773117166,-1.669350574,-1.256755894,-0.690530796,0.798335372
4/02/2004,-0.97,-1.45,-0.59,1.58,-1.15,0.003,-1.49078617,0.189841315,-1.534619848,0.705057612,-0.239097551,0.632309489,-0.090355769,-0.148576312,-9.236129386
5/02/2004,0.23,0.45,0.18,-0.2,0.14,0.003,0.551816479,-1.336428533,-1.237891137,2.429293847,3.064476778,1.587297725,1.019498503,0.074331746,-1.085589379
6/02/2004,1.39,1.03,0.41,-0.9,0.9,0.003,2.816402883,0.242867073,2.043049756,1.02327739,-0.757358703,0.381046354,-1.019498503,0.32139288,3.789560164
9/02/2004,-0.1,0.4,0.27,-0.19,0.21,0.003,-1.062973776,0.01012833,-0.157051416,1.960322172,0.40852114,-0.667712896,-0.877827056,1.160695119,-0.283308907
10/02/2004,0.56,0.58,0.16,-0.29,0.16,0.003,-1.439426273,0.664809805,-0.507614687,0.718392912,0.754276879,0.976258423,-1.192902708,0.879975904,0.444836011
11/02/2004,1.04,-0.35,0.16,-0.02,-0.01,0.003,3.086656541,0.350726681,4.930799997,2.50148736,0.518882716,3.332504586,1.76889764,1.999828463,-2.203219244
12/02/2004,-0.46,-0.11,-0.17,0.42,-0.07,0.003,-0.342485022,-0.662446404,-1.362420559,1.386747975,0.057493536,0.457346594,-0.667321863,-0.023847928,-0.786912375
13/02/2004,-0.57,-0.65,-0.13,0.44,-0.4,0.003,-1.627147752,0.412048932,1.178496152,-0.690970169,1.199677307,-1.239684211,-0.426918466,0,0.041499408
17/02/2004,0.98,0.45,0.58,-0.5,0.05,0.003,2.676386164,-0.34154659,1.396056356,2.942945688,-0.341308636,-0.370244134,1.003508857,0.760617849,0.786633616
18/02/2004,-0.39,-0.08,0.09,-0.06,-0.11,0.003,-0.770080392,-0.960645125,1.653187697,-1.987516242,-0.2853012,0.854155551,-0.911872724,-1.02339569,-0.662004801
19/02/2004,-0.54,-0.91,-0.15,0.73,-0.28,0.003,-0.482734967,-0.631941614,-0.162493012,5.197972059,-0.458190951,-0.784664708,-0.459083654,0.358166051,-1.716599758
20/02/2004,-0.3,-0.15,-0.3,0.46,-0.35,0.003,-2.201592575,-0.502300636,-0.505316006,-3.210455817,1.255002246,-0.790855809,0.30632032,0.190477704,-2.090883738
23/02/2004,-0.51,-1.13,-0.18,0.83,-0.67,0.003,0.519343429,-1.397028188,-0.229058756,-1.881921236,0.283057081,0.32638137,2.177922351,1.300148249,-1.915635866
24/02/2004,-0.14,0.29,-0.18,0.23,-0.21,0.003,-0.675656631,0.861198092,-2.403779922,-0.423073497,-0.68066625,-0.279661815,-0.419849382,-0.636145646,1.310062445
25/02/2004,0.54,0.51,0.19,-0.61,0.41,0.003,0.623846418,-0.258601758,1.38302132,-0.531342768,-0.170885824,2.101866592,-0.935794491,0.800356327,2.273313233
